"","msci_us_value","snp_us_value","msci_us_quality","snp_us_quality","msci_us_volatility","snp_us_volatility","msci_us_momentum","snp_us_momentum"
"2002/03/31",0.063399,0.051243,0.022756,0.029318,0.032242,0.046301,0.035086,0.04295
"2002/04/30",-0.05318,-0.0501,-0.065366,-0.040467,-0.033627,-0.00196,0.001,0.001523
"2002/05/31",-0.002581,0.003993,-0.0112,-0.002782,-0.001314,-0.004067,0.001709,-0.021622
"2002/06/30",-0.07234,-0.063054,-0.069704,-0.068103,-0.055093,-0.032348,-0.051044,-0.065981
"2002/07/31",-0.101893,-0.108104,-0.059633,-0.045275,-0.064244,-0.060298,-0.06084,-0.06826
"2002/08/31",0.004298,0.006869,0.007094,0.000307,0.009321,0.011958,0.01298,0.020957
"2002/09/30",-0.117728,-0.114257,-0.101879,-0.101262,-0.095798,-0.077097,-0.064813,-0.084478
"2002/10/31",0.086271,0.083141,0.102001,0.105026,0.043957,0.030158,0.010995,0.009337
"2002/11/30",0.081044,0.07025,0.037349,0.042548,0.02605,-0.001286,-0.011012,-0.026044
"2002/12/31",-0.069345,-0.051954,-0.052027,-0.045843,-0.020179,-0.00213,-0.020032,0.000809
"2003/01/31",-0.020368,-0.027363,-0.03155,-0.027535,-0.032981,-0.020019,-0.017891,-0.02193
"2003/02/28",-0.024683,-0.027242,-0.010529,-0.00655,-0.022601,-0.013235,-0.008297,-0.021036
"2003/03/31",-0.004577,-0.001292,0.014468,-0.000187,0.008526,0.005852,0.010749,0.023416
"2003/04/30",0.104999,0.098872,0.061307,0.070444,0.067961,0.053792,0.060775,0.048173
"2003/05/31",0.074405,0.073603,0.042822,0.069948,0.044569,0.062602,0.047472,0.049843
"2003/06/30",0.013249,0.00731,0.011763,0.01315,0.0083,-0.006286,0.016421,0.014096
"2003/07/31",0.012059,0.022203,-0.000332,0.004359,0.003145,0.003536,0.02737,0.008541
"2003/08/31",0.017762,0.021639,0.015914,0.008337,0.008527,0.010314,0.014119,0.003869
"2003/09/30",-0.009298,-0.018104,-0.007682,-0.000497,-0.002844,0.009256,-0.007221,-0.017984
"2003/10/31",0.052363,0.068355,0.042388,0.046652,0.044538,0.047509,0.06297,0.061912
"2003/11/30",0.012733,0.008996,0.004773,0.024797,0.013676,0.011536,0.010042,0.01182
"2003/12/31",0.071771,0.061763,0.045979,0.057979,0.047599,0.046022,0.021905,0.048999
"2004/01/31",0.015123,0.017691,0.007643,0.009086,0.014065,0.012912,0.025124,0.028349
"2004/02/29",0.017688,0.0226,0.01594,0.014737,0.019998,0.030044,0.013776,0.006315
"2004/03/31",-0.013916,-0.006941,-0.016022,-0.014716,-0.003179,0.004938,-0.00476,0.015836
"2004/04/30",-0.018904,-0.024714,0.016112,0.007108,-0.013665,-0.010899,-0.044264,-0.051898
"2004/05/31",0.007628,0.011519,0.002149,0.003738,0.008862,0.019538,0.024854,0.042699
"2004/06/30",0.026219,0.021731,0.014174,0.023671,0.013349,0.013135,0.031111,0.027267
"2004/07/31",-0.013601,-0.01895,-0.031812,-0.04657,-0.02289,-0.014763,-0.049614,-0.075502
"2004/08/31",0.015869,0.010771,0.006327,0.005436,0.022885,0.025424,0.007782,-0.031856
"2004/09/30",0.008724,0.018945,-0.000437,0.001916,0.008186,0.004628,0.054532,0.054437
"2004/10/31",0.01468,0.015093,0.004894,0.011659,0.012227,0.019375,0.007788,0.017354
"2004/11/30",0.044821,0.048799,0.035358,0.045438,0.044751,0.033661,0.077533,0.06543
"2004/12/31",0.034478,0.032579,0.045304,0.048669,0.033595,0.027269,0.019943,0.016891
